index,Isolate,AMIKACIN,AMOXICILLIN,AMOXICILLIN_CLAVULANATE,CAPREOMYCIN,CIPROFLOXACIN,CLARITHROMYCIN,CLOFAZIMINE,CYCLOSERINE,ETHAMBUTOL,ETHIONAMIDE,GATIFLOXACIN,ISONIAZID,KANAMYCIN,LEVOFLOXACIN,MOXIFLOXACIN,NICOTINAMIDE,OFLOXACIN,PARA-AMINOSALICYLIC_ACID,PROTHIONAMIDE,PYRAZINAMIDE,RIFABUTIN,RIFAMPICIN,STREPTOMYCIN,category,ETHIOMIDE,IMIPENEM,LINEZOLID,OXIFLOXACIN,PARA_AMINOSALICYLIC_ACID,run,run_combined,bioproject,biosample,internal,path,Isolate_original,accessions
0,00R0025,R,,,S,,,,,R,R,,R,R,,S,,S,,,S,R,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/00R0025/pilon/00R0025.vcf,00R0025,SAMN05916422
1,00R0086,R,,,R,,S,,,R,R,,R,R,,R,,S,,,R,R,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/00R0086/pilon/00R0086.vcf,00R0086,SAMN05918543
2,00R0178,R,,,R,,R,,,R,R,,R,R,,R,,R,,,R,R,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/00R0178/pilon/00R0178.vcf,00R0178,SAMN05918545
4,00R0312,,,,R,,,,,R,,,R,R,,,,,,,NAN,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/00R0312/pilon/00R0312.vcf,00R0312,ERS2401327
5,00R0435,S,,,,,S,,,R,R,,R,S,,,,S,,,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/00R0435/pilon/00R0435.vcf,00R0435,ERS2401310
6,00R0453,,,,R,,,,,R,,,R,R,,,,R,,,NAN,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/00R0453/pilon/00R0453.vcf,00R0453,ERS2401368
7,00R1399,R,,,R,,,,,R,R,,R,R,,R,,S,,,R,R,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/00R1399/pilon/00R1399.vcf,00R1399,SAMN05918548
8,00R1549,R,,,R,,,,,R,R,,R,R,,R,,S,,,S,S,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/00R1549/pilon/00R1549.vcf,00R1549,SAMN05916225
10,00R1566,,,,R,,,,,R,R,,R,R,S,,,S,S,,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/00R1566/pilon/00R1566.vcf,00R1566,ERS2401251
11,01R0153,R,,,R,,,,,R,R,,R,R,,R,,R,,,R,R,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R0153/pilon/01R0153.vcf,01R0153,SAMN05916432
12,01R0166,,,,,,,,,R,R,,R,S,,,,S,,,R,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R0166/pilon/01R0166.vcf,01R0166,ERS2401238
13,01R0238,S,,,,,,,,S,S,,R,S,,S,,S,S,,S,S,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R0238/pilon/01R0238.vcf,01R0238,SAMN05918619
14,01R0239,R,,,R,,R,,,R,S,,R,R,R,S,,R,S,,S,S,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R0239/pilon/01R0239.vcf,01R0239,SAMN05916424
15,01R0244,,,,R,,R,,,R,R,,R,S,R,R,,R,,,R,R,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R0244/pilon/01R0244.vcf,01R0244,SAMN05918550
16,01R0276,S,,,S,,S,,,R,S,,R,S,R,R,,S,S,,R,R,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R0276/pilon/01R0276.vcf,01R0276,SAMN05916229
17,01R0451,,,,,,,,,R,,,R,R,,,,,,,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R0451/pilon/01R0451.vcf,01R0451,ERS2401092
18,01R0647,R,,,R,,R,,,S,R,,R,R,S,,,S,S,,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R0647/pilon/01R0647.vcf,01R0647,ERS2401375
19,01R0685,R,,R,R,,,,,R,S,,R,R,R,R,,R,S,,S,S,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R0685/pilon/01R0685.vcf,01R0685,SAMN05916217
